Source,Target
Petani Skala Besar,Monsanto
Petani Skala Besar,Syngenta
Petani Skala Besar,BASF
Petani Skala Besar,DuPont Pioneer
Petani Skala Besar,CNH Industrial
Petani Skala Besar,Deere & Company
Petani Skala Besar,Bayer Crop Science
Petani Skala Besar,Trimble Agriculture
Petani Skala Besar,The Climate Corporation
Petani Skala Besar,Claas
Petani Skala Besar,Amazone
Petani Skala Besar,Fendt
Petani Skala Besar,Horsch
Petani Skala Besar,Lemken
Petani Skala Besar,Gregoire Besson
Petani Skala Besar,Krone
Petani Skala Besar,Anderson Group
Petani Skala Besar,Anderson Group
Petani Skala Kecil/Menengah,DLF
Petani Skala Kecil/Menengah,Corteva Agriscience
Petani Skala Kecil/Menengah,Kubota Corporation
Petani Skala Kecil/Menengah,Lindsay Corporation
Petani Skala Kecil/Menengah,Raven Industries
Petani Skala Kecil/Menengah,AG Leader Technology
Petani Skala Kecil/Menengah,Mahindra 
Petani Skala Kecil/Menengah,Same Deutz-Fahr Group
Petani Skala Kecil/Menengah,Great Plains Manufacturing
Petani Skala Kecil/Menengah,SDF Group
Petani Skala Kecil/Menengah,Hardi International
Petani Skala Kecil/Menengah,Berthoud
Petani Skala Kecil/Menengah,Kverneland Group
Petani Skala Kecil/Menengah,Simba International
Pemilik Lahan,John Deere
Pemilik Lahan,AGCO Corporation
Pemilik Lahan,Archer Daniels Midland
Pemilik Lahan,Valmont Industries
Pemilik Lahan,Kinze Manufacturing
Pemilik Lahan,Vermeer Corporation
Pemilik Lahan,Kuhn Group
Pemilik Lahan,Krone
Pemilik Lahan,Grimme Group
Pemilik Lahan,Agrifac
Pemilik Lahan,JCB Agriculture
Pemilik Lahan,Alamo Group
Industri Pertanian,Yara
Industri Pertanian,Mosaic Company
Industri Pertanian,AGI
Industri Pertanian,Agrium
Industri Pertanian,Vilmorin
Industri Pertanian,Sakata
